Key,Type,Source,ko,en,es,zh-cn,zh-tw
Stat_personality_1,,,착한,Nice,Agradable,善良的,善良的
Stat_personality_2,,,조용한,Quiet,Tranquilo,安静的,安靜的
Stat_personality_3,,,섬세한,Sensitive,Sensible,细心的,細緻的
Stat_personality_4,,,활동적인,Active,Activo,活跃的,活動的
Stat_personality_5,,,풍부한,Generous,Generoso,丰富的,豐富的
Stat_personality_6,,,배려심 있는,Considerate,Considerado,体贴的,體貼的
Cook_getCook,,,요리 꺼내기,Take Food,Tomar comida,拿出料理,取出料理
Item_105,,,탄생의 알,Egg of Birth,Huevo de nacimiento,诞生之蛋,誕生之蛋
Item_106,,,축복의 알,Egg of Blessing,Huevo de bendición,祝福之蛋,祝福之蛋
Item_107,,,경험의 알,Egg of Experience,Huevo de experiencia,经验之蛋,經驗之蛋
Item_108,,,수상한 알,Suspicious Egg,Huevo sospechoso,神秘之蛋,可疑的蛋
Item_109,,,푸근한 깃털,Fluffy Feather,Pluma suavita,松软的羽毛,柔軟的羽毛
Item_110,,,별 조각,Star Fragment,Fragmento de estrella,星星碎片,星星碎片
Item_111,,,다듬은 뼈,Polished Bone,Hueso pulido,打磨的骨头,修整過的骨頭
Item_112,,,나뭇잎,Tree Leaf,Hoja de árbol,树叶,葉子
Item_113,,,불꽃,Flame,Llama,火花,火花
Item_114,,,포근한 깃털,Cozy Feather,Pluma acogedora,柔软的羽毛,蓬鬆的羽毛
Item_115,,,고기,Meat,Carne,肉,肉類
Item_116,,,별꽃,Star Flower,Flor estelar,繁缕,櫻花
Item_117,,,물방울,Drop of Water,Gota de agua,水滴,水滴
Item_118,,,프로펠러,Propeller,Propulsor,螺旋桨,螺旋槳
Item_119,,,알,Monster Egg,Huevo de monstruo,蛋,蛋
Item_120,,,붉은 별,Red Star,Estrella roja,红星,紅色星星
Item_121,,,작은 뿔,Small Horn,Cuerno pequeño,小星,小角
Item_122,,,씨앗,Seed,Semilla,种子,種子
Item_123,,,레드 링,Red Ring,Anillo rojo,红戒,紅環
Item_124,,,털뭉치,Hair Tuft,Mechón de cabello,毛团,毛球
Item_125,,,뱀 가죽,Snake Skin,Piel de serpiente,蛇皮,蛇皮
Item_126,,,펭귄 인형,Penguin Doll,Muñeco de pingüino,企鹅玩偶,胖企鵝玩偶裝
Item_127,,,액괴,Liquid Monster,Monstruo líquido,液体怪物,史萊姆
Item_128,,,물개 인형,Seal Doll,Muñeco de foca,海狗玩偶,海豹娃娃
Item_129,,,고운 깃털,Fine Feather,Pluma fina,细羽毛,細緻的羽毛
Item_130,,,선글라스,Sunglasses,Gafas de sol,墨镜,太陽眼鏡
Item_131,,,말린 꼬리,Dried Tail,Cola seca,干尾巴,晒乾的尾巴
Item_132,,,미끄덩 액체,Slippery Liquid,Líquido resbaloso,滑块液体,滑溜溜液體
Item_133,,,날개,Wings,Alas,翅膀,翅膀
Item_134,,,애벌레 인형,Caterpillar Doll,Muñeco de oruga,毛毛虫玩偶,幼蟲娃娃
Item_135,,,별빛 조각,Starlight Fragment,Fragmento de luz estelar,星光碎片,星光碎片
Item_136,,,튼튼한 뿔,Sturdy Horn,Cuerno resistente,坚硬的角,堅固的角
Item_137,,,독버섯,Poisonous Mushroom,Hongo venenoso,毒蘑菇,毒菇菇
Item_138,,,비커,Beaker,Vaso de precipitado,烧杯,燒杯
Item_139,,,솜털 뭉치,Fluff Ball,Bola de pelusa,绒毛团,絨毛球
Item_140,,,방울,Bells,Campanas,铃铛,鈴鐺
Item_141,,,스노클,Snorkeling Gear,Equipo de esnórquel,水下呼吸器,浮潛管
Item_142,,,나무 진액,Tree Sap,Savia de árbol,树液,樹液
Item_143,,,신비로운 천,Mysterious Cloth,Ropa misteriosa,神奇的布,神祕布料
Item_144,,,스테이크,Steak,Filete,牛排,肉排
Item_145,,,사슴뿔,Deer Antler,Astas de ciervo,鹿角,鹿角
Item_146,,,깨끗한 물,Clean Water,Agua limpia,净水,淨水
Item_147,,,검은 털 뭉치,Black Hair Tuft,Mechón de cabello negro,黑毛团,黑色毛球
Item_148,,,잘린 꼬리,Cut-off Tail,Cola cortada,断掉的尾巴,切斷的尾巴
Item_149,,,어두운 날개,Dark Wings,Alas oscuras,暗淡的翅膀,黑暗翅膀
Item_150,,,빨강 리본,Red Ribbon,Cinta roja,红色蝴蝶结,紅色蝴蝶結
Item_151,,,마법 잎사귀,Magic Leaf,Hoja mágica,魔法叶子,魔法葉子
Item_152,,,호랑이 인형,Tiger Doll,Muñeco de tigre,老虎玩偶,老虎娃娃
Item_153,,,고슴도치 뿔,Hedgehog Horn,Cuerno de erizo,刺猬角,刺蝟角
Item_154,,,으스스 한 기운,Creepy Energy,Energía espeluznante,阴森森的气息,陰森的氣息
Item_155,,,개구리 인형,Frog Doll,Muñeco de rana,青蛙玩偶,青蛙娃娃
Item_156,,,거위 털,Goose Down,Pluma de ganso,鹅毛,鵝毛
Item_157,,,거북이 등껍질,Turtle Shell,Caparazón de tortuga,龟壳,烏龜背殼
Item_158,,,미니 시계,Mini Clock,Mini reloj,迷你钟表,迷你時鐘
Item_159,,,토끼 인형,Rabbit Doll,Muñeco de conejo,兔子玩偶,兔兔玩偶披風
Item_160,,,알 껍질,Eggshell,Cáscara de huevo,蛋壳,蛋殼
Item_161,,,붉은 꼬리 깃털,Red Tail Feather,Pluma de cola roja,红尾羽毛,紅尾羽毛
Item_162,,,선인장 가시,Cactus Thorn,Espina de cactus,仙人掌刺,仙人掌的刺
Item_163,,,리본 꿀,Ribbon Honey,Miel con cinta,蝴蝶结蜂蜜,甜蜜蝴蝶結
Item_164,,,흰색 털 뭉치,White Hair Tuft,Mechón de cabello blanco,白毛团,白色毛球
Item_165,,,산삼 항아리,Wild Ginseng Pot,Maceta de ginseng silvestre,山参缸子,山篸甕
Item_166,,,얼음,Ice,Hielo,冰块,冰塊
Item_167,,,빛나는 날개,Shiny Wings,Alas brillantes,闪耀的翅膀,發光的翅膀
Item_168,,,분홍 털,Pink Hair,Cabello rosa,粉红毛,粉紅羽毛
Item_169,,,뭉텅이 깃털,Bunch of Feathers,Montón de plumas,一团羽毛,大團的羽毛
Item_170,,,발록의 뿔,Balrog Horn,Cuerno de balrog,巴洛的角,巴洛古之角
Item_171,,,연두색 비늘,Light Green Scale,Escama verde claro,淡绿色鳞片,淺綠色鱗片
Item_172,,,오묘한 꽃,Mysterious Flower,Flor misteriosa,奥妙的花,微妙的花
Item_173,,,날카로운 뿔,Sharp Horn,Cuerno filoso,尖角,銳利的角
Item_174,,,사미호 꼬리,Four-Tailed Fox Tail,Cola de zorro de cuatro colas,四尾狐尾巴,史美狐尾巴
Item_175,,,튼튼한 가죽,Sturdy Skin,Piel resistente,结实的皮革,堅固的皮革
Item_176,,,새싹,Sprout,Brote,幼苗,新芽
Item_177,,,투명 망토,Invisible Cloak,Capa invisible,透明斗篷,透明披風
Item_178,,,달콤한 열매,Sweet Fruit,Fruta dulce,甜蜜的果实,香甜果實
Item_179,,,연꽃 이슬,Lotus Dew,Rocío de loto,荷花露珠,蓮花露水
Item_180,,,목도리,Scarf,Bufanda,围脖,圍巾
Item_181,,,네잎클로버,Four-Leaf Clover,Trébol de cuatro hojas,四叶草,四葉草
Item_182,,,날개 가루,Wing Powder,Polvo de alas,翅膀粉末,翅膀粉末
Item_183,,,새싹 털 뭉치,Sprout Hair Tuft,Mechón de cabello de retoño,细毛团,新芽毛球
Item_184,,,왕관,Crown,Corona,王冠,王冠
Item_185,,,죽창,Bamboo Spear,Lanza de bambú,竹制长矛,竹槍
Item_186,,,날카로운 발톱,Sharp Claw,Garra filosa,利爪,銳利的爪子
Item_187,,,부드러운 깃털,Soft Feather,Pluma suave,柔顺的羽毛,柔軟的羽毛
Item_188,,,빛나는 비늘,Shiny Scale,Escama brillante,闪亮的鳞片,發光的鱗片
Item_189,,,꽃가루 ,Pollen,Polen,花粉 ,花粉 
Item_190,,,눈사람 인형,Snowman Doll,Muñeco de hombre de nieve,雪人玩偶,雪人娃娃
Item_191,,,빛나는 구슬,Shiny Orb,Orbe brillante,晶莹的珠子,發光的珠子
Item_192,,,돌멩이,Stone,Piedra,小石块,鵝卵石
Item_193,,,사막 모래,Desert Sand,Arena del desierto,沙漠沙子,沙漠的沙
Item_194,,,가벼운 깃털,Light Feather,Pluma liviana,轻盈的羽毛,輕飄羽毛
Item_195,,,싱싱한 생선,Fresh Fish,Pescado fresco,新鲜的海鲜,新鮮的海鮮
Item_196,,,마법 목걸이,Magic Necklace,Collar mágico,魔法项链,魔法項鍊
Item_197,,,선인장 혹,Cactus Lump,Pedazo de cactus,仙人掌包块,仙人掌的瘤狀物
Item_198,,,금빛 상아,Golden Ivory,Marfil dorado,金色象牙,金光鎩羽
Item_199,,,바구니,Basket,Canasta,篮子,籃子
Item_200,,,태엽,Spring,Resorte,发条,發條
Item_201,,,꿀,Honey,Miel,蜂蜜,蜂蜜
Item_202,,,문어 인형,Octopus Doll,Muñeco de pulpo,章鱼玩偶,章魚娃娃
Item_203,,,항해 일지,Logbook,Bitácora,航海日志,航海日誌
Item_204,,,얼큰 국수,Spicy Noodles,Fideos picantes,香辣面,香辣麵條
Item_205,,,자쿰 팔,Zakum Arm,Brazo de Zakum,扎库穆胳膊,殘暴炎魔紅豆
Item_206,,,해골바가지,Skull,Cráneo,骷髅,骷髏
Item_207,,,키위,Kiwi,Kiwi,奇异果,奇異果
Item_208,,,마법 빗자루,Magic Broom,Escoba mágica,魔法扫帚,魔法掃帚
Item_209,,,화살 뭉치,Bundle of Arrows,Montón de flechas,一捆箭,箭矢團
Item_210,,,부러지지 않는 뿔,Unbreakable Horn,Cuerno irrompible,不易折断的角,不會碎裂的角
Item_211,,,새초롬한 열매,Fresh Fruit,Fruta fresca,酸甜果实,高冷的果實
Item_212,,,신비한 결정,Mysterious Crystal,Cristal misterioso,神秘的水晶,神祕結晶
Item_213,,,질긴 가죽,Tough Skin,Piel dura,坚韧的皮革,堅韌皮革
Item_214,,,해피 플라워,Happy Flower,Flor feliz,开心花,幸福之花
Item_215,,,나무 토막,Wooden Block,Bloque de madera,木块,木塊
Item_216,,,요정 날개,Fairy Wings,Alas de hada,精灵翅膀,妖精翅膀
Item_217,,,흰 갈기털,White Mane,Melena blanca,白鬃毛,白色鬃毛
Item_218,,,무술 교본,Martial Arts Textbook,Libro de texto Manual de artes marciales,武术教材,武術手冊
Item_219,,,피기 가면,Piggy Mask,Máscara de cerdito,魔法猪面具,小豬面具
Item_220,,,보스 주머니,Boss Pouch,Bolsa de jefe,老大的口袋,BOSS袋子
Item_221,,,악어 가죽,Crocodile Skin,Piel de cocodrilo,鳄鱼皮,鱷魚皮
Item_222,,,배터리,Battery,Batería,电池,電池
Item_223,,,방울꽃 ,Bellflower,Campanilla,铃铛花 ,鈴蘭 
Item_224,,,은색 꼬리,Silver Tail,Cola plateada,银尾,銀色尾巴
Item_225,,,비늘,Scale,Escama,鳞片,針
Item_226,,,고급 안장,Luxury Saddle,Montura de lujo,高级鞍子,高級鞍座
Item_227,,,너굴 삽,Raccoon Shovel,Pala de mapache,狸狸铲,狸貓鏟
Item_228,,,자쿰 모자,Zakum Hat,Sombrero de Zakum,扎库穆帽子,殘暴炎魔帽子
Item_229,,,녹은 눈,Melting Snow,Nieve derretida,融化的雪,融雪
Item_230,,,빛나는 결정,Shiny Crystal,Cristal brillante,闪亮的水晶,發光的決定
Item_231,,,불꽃 깃털,Flame Feather,Pluma de llamas,火花羽毛,火花羽毛
Item_232,,,용의 구슬,Dragon Orb,Orbe de dragón,龙珠,龍珠
Item_233,,,잎새 가루,Leaf Powder,Polvo de hoja,叶粉,綠葉粉
Item_234,,,고대 석판,Ancient Slate,Pizarra ancestral,古代石板,古代石板
Item_235,,,상어 이빨,Shark Teeth,Diente de tiburón,鲨鱼牙,鱷魚牙齒
Item_236,,,마법 피리,Magic Flute,Flauta mágica,魔法笛子,魔笛
Item_237,,,뿔 장식,Horn Decoration,Decoración de cuerno,角装饰,角飾
Item_238,,,강인한 털,Strong Hair,Cabello fuerte,坚韧的皮毛,堅韌的毛
UI_unidentifiedMonster,,,숨겨진 몬스터,Unidentified Monster,Monstruo no identificado,隐藏的怪物,隱藏的怪物
UI_unidentified,,,미확인,Not Confirmed,No confirmado,未知,未確認
UI_unidentifiedMonster_Info,,,만난 적 없는 몬스터입니다.,You haven't met this monster yet.,No has encontrado este monstruo todavía.,没有见过的怪物。,未見過的怪物。
UI_collection_Normal,,,일반,Normal,Normal,普通,一般
UI_collection_Secret,,,비밀,Secret,Secreto,秘密,秘密
UI_collection_Info_1,,,조합을 통해 컬렉션을 획득해보세요.,Get collections through combinations.,Obtén colecciones a través de combinaciones.,请通过组合获取收藏。,透過組合來獲得收藏吧。
UI_collection_Info_2,,,레시피에 없는 조합을 하면 다음 세대의 비밀 몬스터 중 한 마리를 랜덤으로 얻습니다.,Combinations that don't have a recipe will randomly give you a secret monster of the next generation.,Las combinaciones que no tienen una receta te darán aleatoriamente un monstruo secreto de la siguiente generación.,进行配方中不存在的组合时，可随机获得一只下一代的秘密怪物。,如果進行配方中沒有的組合，將會隨機獲得一隻下一世代的祕密怪物。
UI_fusion_Full,,,몬스터 조합,Combine monsters,Combinar monstruos,组合怪物,組合怪物
UI_progress,,,달성률,Achievement Rate,Tasa de logros,达成率,達成率
UI_GetAllReward,,,일괄 보상 받기,Claim All Rewards,Obtener todas las recompensas,批量领取奖励,領取全部獎勵
UI_sortByGenerationUp,,,세대 정렬 (높음),Sort by Generation (from high),Ordenar por generación (descendente),世代排序（高）,世代排列(高至低)
UI_sortByGenerationDown,,,세대 정렬 (낮음),Sort by Generation (from low),Ordenar por generación (ascendente),世代排序（低）,世代排列(低至高)
UI_sortByGradeUp,,,등급 정렬 (높음),Sort by Rank (from high),Ordenar por rango (descendente),级别排序（高）,等級排列(高至低)
UI_sortByGradeDown,,,등급 정렬 (낮음),Sort by Rank (from low),Ordenar por rango (ascendente),级别排序（低）,等級排列(低至高)
UI_fusion_DoFusion,,,조합하기,Combine,Combinar,组合,組合
UI_fusion_LackOfIngredient,,,재료 부족,Not Enough Ingredients,Ingredientes insuficientes,材料不足,材料不足
UI_fusion_RemainingTime_Full,,,{0}시간 {1}분 {2}초 남음,{0} hr {1} min {2} sec left,{0} h {1} min {2} s restantes,还剩{0}小时{1}分{2}秒,剩餘{0}小時{1}分{2}秒
UI_fusion_RemainingTime_Short,,,{0}분 {1}초 남음,{0} min {1} sec left,{0} min {1} s restantes,还剩{0}分{1}秒,剩餘{0}分{1}秒
UI_fusion_RemainingTime_VeryShort,,,{0}초 남음,{0} sec left,{0} s restantes,还剩{0}秒,剩餘{0}秒
UI_fusion_Complete,,,조합 완료,Combined,Combinado,组合完成,組合完成
UI_fusion_gradeUp,,,등급 상승 확률,Rank Increase Probability,Probabilidad de aumento de rango,级别提升概率,等級提升機率
UI_fusion_gradeDown,,,등급 하락 확률,Rank Decrease Probability,Probabilidad de disminución de rango,级别降低概率,等級下降機率
UI_fusion_Recipe_Info_1,,,"[주의] 몬스터의 등급, 스킬, 성격만 바뀝니다.","[Caution] Only the monster's rank, skill, and personality change.","[Cuidado] Solo cambiarán el rango, la habilidad y la personalidad del monstruo.",【注意】仅变更怪物的级别、技能和性格。,[注意]僅變更怪物的等級、技能和個性。
UI_fusion_Recipe_Info_2,,,숨겨진 몬스터가 등장할 수도?,An unidentified monster may appear!,¡Un monstruo no identificado puede aparecer!,有可能出现隐藏的怪物。,也許會出現隱藏的怪物？
UI_fusion_Recipe_Info_3,,,레시피가 존재합니다. [{0}],A recipe is available. [{0}],Hay una receta disponible. [{0}],配方已存在。【{0}】,配方已存在。[{0}]
UI_sellSingleOnOff,,,낱개 판매,Individual Sale,Venta individual,单件出售,單個販售
UI_lab_info_1,,,{0} / {1} / {2} / {3} / {4}로\n등급이 나뉩니다.,Ranks are divided into\n{0} / {1} / {2} / {3} / {4},Los rangos están divididos en\n{0} / {1} / {2} / {3} / {4},级别分为\n{0}/{1}/{2}/{3}/{4}。,分成{0} / {1} / {2} / {3} / {4}\n等級。
UI_lab_info_2,,,등급 연구 실패 시 등급이 하락합니다.,The rank will go down if the research fails.,El rango disminuirá si falla la investigación.,级别研究失败时，会降低级别。,等級研究失敗時，等級將會下降。
UI_lab_percent,,,확률  |  {0}%,Probability  |  {0}%,Probabilidad  |  {0} %,概率  |  {0}%,機率  |  {0}%
UI_lab_enable,,,연구,Research,Investigación,研究,研究
UI_lab_disable,,,불가,Disable,Desactivar,无法进行,回收
UI_grade,,,등급,Rank,Rango,级别,階級
Quest_main_1_objective,,,"농장, 첫 걸음",A Farmer's First Step,El primer paso de un granjero,农场，第一步,農場，第一步
Quest_main_2_objective,,,아이템 모으기,The Collection,La colección,收集道具,收集道具
Quest_main_3_objective,,,조합은 신기해!,Combined Forces,Fuerzas combinadas,组合真神奇！,組合好神奇！
Quest_main_4_objective,,,별사탕 수집,Collect Star Candy,Recolectar estrella dulce,收集星星糖果,收集星星糖
Quest_main_5_objective,,,월간 몬농 - 희귀 몬스터,Monthly Rare Monsters,Monstruos raros mensuales,怪物农场月刊 - 稀有怪物,怪物農場月刊 - 稀有怪物
Quest_main_6_objective,,,혼자선 힘들어!,Can't Do It Alone!,¡No puedo hacerlo solo!,一个人真累！,自己一個人很辛苦！
Quest_main_7_objective,,,창고가 필요해,Super Storage,Súper almacenamiento,仓库的重要性,我需要倉庫
Quest_main_8_objective,,,월간 몬농 - 요리,Monthly Cooking,Cocina mensual,怪物农场月刊 - 料理,怪物農場月刊 - 料理
Quest_main_9_objective,,,마스코트 몬스터,Monster Mascot,Monstruo mascota,吉祥物怪物,吉祥物怪物
Quest_main_10_objective,,,열심히 일하자구!,Hard Work Pays Off!,¡El trabajo duro da resultados!,认真干活吧！,認真工作吧！
Quest_main_11_objective,,,고용주가 될까?,Who's the Boss?,¿Quién es el jefe?,要不要成为雇主？,要成為僱主嗎？
Quest_main_12_objective,,,고급 몬스터,Monster Mastery,Maestría de monstruos,高级怪物,高級怪物
Quest_main_13_objective,,,앗! 드디어!,True Monster Mastery,Maestría de monstruos verdadera,啊！终于！,啊！終於！
Quest_main_14_objective,,,루비 부자,Ruby Rich,Fortuna en rubíes,红宝石富翁,紅寶石富翁
Quest_main_15_objective,,,연구를 해볼까?,Hit the Books,A leer los libros,研究一下吧？,要研究看看嗎？
Quest_main_16_objective,,,노동의 보답,The Good Boss,El buen jefe,劳动的回报,勞動的酬勞
Quest_main_17_objective,,,스킬 연구,Research Skill,Investigar habilidad,技能研究,技能研究
Quest_main_18_objective,,,연간 몬농 - 수집왕,Annual Collection King,Rey de las colecciones anual,怪物农场年刊 - 收集王,怪物農場年刊 - 收集王
Quest_main_1_description,,,몬스터 수집,Collect monsters,Coleccionar monstruos,收集怪物,收集怪物
Quest_main_2_description,,,아이템 회수,Get items,Obtener artículos,回收道具,回收道具
Quest_main_3_description,,,몬스터 조합,Combine monsters,Combinar monstruos,组合怪物,組合怪物
Quest_main_4_description,,,별사탕 수집,Collect Star Candy,Recolectar estrella dulce,收集星星糖果,收集星星糖
Quest_main_5_description,,,3세대 몬스터 획득,Obtain a 3rd generation monster,Obtener un monstruo de 3.º generación,获得3代怪物,獲得3世代怪物
Quest_main_6_description,,,일꾼 고용,Hire workers,Contratar trabajadores,雇佣工人,僱用工人
Quest_main_7_description,,,창고 확장,Expand the storage,Expandir el almacenamiento,扩张仓库,擴增倉庫
Quest_main_8_description,,,요리 완료,Make food,Preparar comida,料理完成,料理完成
Quest_main_9_description,,,마스코트 등록,Set a mascot,Designar una mascota,添加吉祥物,登錄吉祥物
Quest_main_10_description,,,보조 일감 완료,Complete side work,Completar trabajo secundario,辅助工作完成,輔助工作完成
Quest_main_11_description,,,일꾼 고용,Hire workers,Contratar trabajadores,雇佣工人,僱用工人
Quest_main_12_description,,,4세대 몬스터 획득,Get a 4th generation monster,Obtener un monstruo de 4.º generación,获得4代怪物,獲得4世代怪物
Quest_main_13_description,,,5세대 몬스터 획득,Get a 5th generation monster,Obtener un monstruo de 5.º generación,获得5代怪物,獲得5世代怪物
Quest_main_14_description,,,루비 수집,Collect Rubies,Recolectar rubíes,收集红宝石,收集紅寶石
Quest_main_15_description,,,연구로 '유일' 등급 획득,Get Unique rank through research,Obtener un rango único a través de la investigación,通过研究获得“唯一”级别,透過研究獲得「獨特」等級
Quest_main_16_description,,,일꾼 강화,Build up workers,Acumular trabajadores,强化工人,強化工人
Quest_main_17_description,,,스킬 연구하기,Research a skill,Investigar una habilidad,研究技能,研究技能
Quest_main_18_description,,,몬스터 수집,Collect monsters,Coleccionar monstruos,收集怪物,收集怪物
Quest_main_1_content,,,이게 내 농장!\n드디어 나도 농장주가 되었다.\n\n환한 농장을 바라보고 있으니\n어떤 모습으로 변할지 기대된다.\n\n아차차 내 정신 좀 봐.\n이러고 있을 때가 아니지.\n\n일단 몬스터부터 얻자!,"This is my farm!\nWow, I've finally become a farm owner.\n\nLooking at this place,\nI'm excited to see how it'll change.\n\nOh, goodness!\nI don't have time to daydream.\n\nLet's get some monsters going!","¡Esta es mi granja!\nAl fin puedo disfrutar de la vida del campo.\n\nMientras miro este lugar,\nme entusiasma ver cómo va a cambiar.\n\n¡Oh, vaya!\nNo tengo tiempo para ensoñaciones.\n\n¡Comencemos con unos monstruos!",这里是我的农场！\n我也终于成为农场主了。\n\n看着宽阔的农场，\n真期待以后会变成什么样子呢。\n\n哎呀，瞧我这记性。\n现在可不是悠闲的时候。\n\n先去获得怪物吧！,這是我的農場！\n我終於成為農場主人了。\n\n望著空蕩蕩的農場\n很其他之後會變成什麼樣子呢。\n\n對了，我差點忘了。\n現在不該愣在這裡了。\n\n先獲得怪物吧！
Quest_main_2_content,,,돈이다. 돈! 몬스터들을 농장에 데려온 후 \n꾸준하게 돈을 수확하고 있다. \n\n틈틈이 생산하는 아이템도 쏠쏠하다. \n\n더 많이 더 빨리 수확해서\n많은 돈을 벌어보자. ,"Cash money! Since I brought monsters to the farm,\nI've been raking in the dough.\n\nAnd I can create items whenever, which is super nice.\n\nLet's keep it going\nto make more money.","¡Ya tengo dinero! Desde que traje monstruos a la granja,\nhe ganado mucho dinero.\n\nY puedo crear artículos cuando quiera, lo que es genial.\n\nSigamos adelante\ny hagamos más dinero.",钱欸，是钱！自从把怪物们带到农场后，\n钱一直在进账。\n\n偶尔生产出来的道具也有不少用处。\n\n收获更多，\n赚更多钱！ ,是錢。錢啊！把怪物帶來農場後\n就開始穩定賺錢了。\n\n偶爾生產的道具也能賺到不少。\n\n讓收穫更多更快\n賺取更多的錢吧。 
Quest_main_3_content,,,처음엔 그 누구보다 빠르게 버는 것\n같았지만 지금은 정체된 느낌인가요? \n\n몬스터 조합을 사용해보세요.,Do you feel like you're not\nearning as fast as you\nwere before?\n\nTry combining monsters.,¿Sientes que no\nganas tan rápido como\nantes?\n\nPrueba combinar monstruos.,起初觉得赚得比谁都快，\n但现在是不是感觉停滞不前了？\n\n尝试组合一下怪物。,雖然一開始感覺賺得比誰都快，\n但現在卻有種停滯的感覺嗎？\n\n請試著組合怪物吧。
Quest_main_4_content,,,조합으로 얻은 몬스터는 캔디를 \n만든답니다~\n\n캔디를 조합 재료로 넣으면 더 희귀한 \n몬스터가 펑!\n\n한번 모아볼까요?,"Monsters you make through combination produce candy!\n\nUse the candy as combination material, and you'll get an\neven rarer monster!",¡Los monstruos que combinas producen caramelos!\n\n¡Usa los caramelos como material de combinación\ny tendrás un monstruo incluso más raro!,通过组合获得的怪物\n会制作糖果哦！\n\n将糖果用作组合材料放入时，\n会出现更稀有的怪物！\n\n来尝试一下？,透過組合獲得的怪物\n可以製作糖果～\n\n將糖果放到組合材料裡\n就會砰一聲出現更稀有的怪物！\n\n要不要收集看看？
Quest_main_5_content,,,피터 팬 이야기를 들어봤나요? \n\n팅커벨 가루를 뿌리면 하늘을 \n날 수 있게 되죠. \n\n몬스터를 조합하면 힘이 강해지고 다양한 \n아이템을 생산한답니다. \n\n3세대 조합을 해봅시다. \n\n물론 캔디가 필요하니 단단히 \n준비도 하고요.\n\n날아오를 준비가 되었나요? ,"Have you heard the story of Peter Pan?\n\nSpread the Tinker Bell powder\nand you can fly.\n\nCombining monsters will increase their strength and produce\nnifty items.\n\nTry a 3rd generation combination.\n\nOf course, you'll need candy, too.\n\nAre you ready to fly?","¿Has escuchado la historia de Peter Pan?\n\nEsparce el polvo de Campanita\ny podrás volar.\n\nCombinar monstruos aumenta su fuerza y produce\nartículos geniales.\n\nPrueba con una combinación de tercera generación.\n\nPor supuesto, también necesitarás caramelos.\n\n¿Todo listo para volar?",听过彼得潘的故事吗？\n\n听说撒点小叮当的粉末\n就可以飞起来了。\n\n组合怪物后力量会变得更强，\n还可以生产更多道具。\n\n试试组合3代。\n\n组合需要消耗糖果，\n所以要提前做好准备。\n\n准备好飞翔了吗？ ,你有聽說過彼得潘的故事嗎？\n\n只要叮叮灑出粉末，\n就能夠飛上天空。\n\n組合怪物時，力量會變得強大\n也會生產各多元的道具。\n\n嘗試組合3世代怪物吧。\n\n當然也會需要糖果，所以\n也要好好準備。\n\n準備好要飛向高空了嗎？ 
Quest_main_6_content,,,"""거기 자네! 일이 좀 많아 보이는데…""\n""내 도움이 필요하지 않겠어?""\n\n""나는 많이 먹지도 않고\n농장 일은 그 누구보다 잘한다오""\n\n""일단 한 달만이라도 고용해보시오!""\n\n마침 일손도 부족했는데 잘 됐다. ","""Hey! You look like you have a lot on your hands.""\n""Would you like some help?""\n\n""I don't eat very much,\nand I'm the best at farm work.""\n\n""You should hire me for at least a month!""\n\nI'm short-handed, so this is good.","""¡Oye! Parece que tienes mucho trabajo"".\n""¿Necesitas ayuda?"".\n\n""No como mucho\n, pero mi destreza para el trabajo agrícola es insuperable"".\n\n""¡Contrátame al menos por un mes!"".\n\nTengo pocos trabajadores, así que esto cae como anillo al dedo.",“喂！你看起来要做的事情挺多……”\n“需不需要我的帮助呢？”\n\n“我食量小，\n农场活比谁都会干。”\n\n“要不先雇我一个月试试吧！”\n\n现在人手不够时机正好呢。 ,「喂，就是你！工作看起來有點多…」\n「不需要我的幫助嗎？」\n\n「我吃得不多\n也比任何人都還要會做農場的工作」\n\n「首先就先僱用一個月看看吧！」\n\n正好人手不足，太好了。 
Quest_main_7_content,,,우르르~\n\n창고에 차곡차곡 쌓아둔 아이템들이 \n모두 쏟아져 나왔어요. \n\n더 큰 창고로 바꿔야 할 것 같아요. \n\n창고를 업그레이드해 볼까요? ,*sha-BOOM*\n\nThe items piled in storage\nare all stuffed together.\n\nI need a bigger storage space.\n\nHow about an upgrade?,*ánimos*\n\nLos objetos en el almacén\nestán todos apiñados.\n\nNecesito un espacio de almacenamiento más amplio.\n\nNo vendría mal una mejora.,哗啦啦～\n\n仓库里整齐堆放的道具\n全倾泻出来了。\n\n看来要换个更大一点的仓库才行。\n\n来升级一下仓库吧。 ,嘩啦啦～\n\n堆積在倉庫裡的道具\n全都傾瀉而出。\n\n感覺要換成更大的倉庫才行。\n\n要不要試著升級倉庫？ 
