Key,Source,type,ko,Arguments,en,es,zh-cn,zh-tw
UpgradeHelpText2000411,"주방 설비 <color=#ff9813>개수대, 수납장, 냉장고</color>를 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",Default text,"주방 설비 <color=#ff9813>개수대, 수납장, 냉장고</color>를 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",,"You installed an additional <color=#ff9813>Sink, Cabinet, and Fridge</color> in the Kitchen.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!","Instalaste un <color=#ff9813>fregadero, mesa de preparación, gabinete y refrigerador</color> en la cocina.\n\n¡La mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!",将在厨房添置<color=#ff9813>洗碗台、收纳柜、冰箱</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,增設廚房設備<color=#ff9813>水槽、收納櫃、冰箱</color>。\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText2000412,"매장 입구에 <color=#ff9813>입간판 2개, 카펫 3개</color>를 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",Default text,"매장 입구에 <color=#ff9813>입간판 2개, 카펫 3개</color>를 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",,You installed <color=#ff9813>2 Billboards and 3 Carpets</color> at the entrance.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!,Instalaste <color=#ff9813>2 carteles publicitarios y 3 alfombras</color> en la entrada.\n\nLa mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!,将在店铺入口处布置<color=#ff9813>2个广告牌、3个地毯</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,在店面入口放置<color=#ff9813>2個立牌、3個地毯</color>。\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText2000413,"매장 입구에 <color=#ff9813>햄버거, 콜라, 감자 튀김 인형 세트</color>를 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",Default text,"매장 입구에 <color=#ff9813>햄버거, 콜라, 감자 튀김 인형 세트</color>를 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",,"You installed an additional <color=#ff9813>Hamburger, Coke, and Fries Doll Set</color> at the entrance.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!","Instalaste un conjunto adicional de <color=#ff9813>muñecos de hamburguesa, refresco y papas fritas</color> en la entrada.\n\n¡La mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!",将在店铺入口处布置<color=#ff9813>汉堡、可乐、炸薯条玩偶组合</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,在店面入口增設<color=#ff9813>漢堡、可樂、薯條玩偶套組</color>。\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText2000414,"주방 설비 <color=#ff9813>손질대, 수납장</color>을 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",Default text,"주방 설비 <color=#ff9813>손질대, 수납장</color>을 추가 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",,You installed an additional <color=#ff9813>Trimming Table and Cabinet</color> in the Kitchen.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!,Instalaste una <color=#ff9813>mesa de recorte y un gabinete</color> adicionales en la cocina.\n\n¡La mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!,添置厨房设备<color=#ff9813>操作台、收纳柜</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,增設廚房設備<color=#ff9813>備菜區、收納櫃</color>。\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText2000415,"주방 설비 <color=#ff9813>개수대 1개, 손질대 1개, 수납장 1개</color> \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",Default text,"주방 설비 <color=#ff9813>개수대 1개, 손질대 1개, 수납장 1개</color> \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>",,"You installed <color=#ff9813>1 Sink, 1 Trimming Table, and 1 Cabinet</color> in the Kitchen.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!","Instalaste <color=#ff9813>1 fregadero, 1 mesa de recorte y 1 gabinete</color> en la cocina.\n\n¡La mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!",厨房设备<color=#ff9813>1个洗碗台、1个操作台、1个收纳柜</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,廚房設備<color=#ff9813>1個水槽、1個備菜區、1個收納櫃</color>\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText2000416,매장 홀에 <color=#ff9813>샹들리에 5개</color>를 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>,Default text,매장 홀에 <color=#ff9813>샹들리에 5개</color>를 설치합니다. \n\n매장 시설 효과로 가게의 매력도 상승<color=#ff9813>↑↑↑</color>,,You installed <color=#ff9813>5 Chandeliers</color>.\n\nThe facilities upgrade <color=#ff9813>increased Charm ↑↑↑</color>!,Instalaste <color=#ff9813>5 candelabros</color>.\n\n¡La mejora de instalaciones <color=#ff9813>aumentó el encanto ↑↑↑</color>!,将在店铺大厅布置<color=#ff9813>5个吊灯</color>。\n\n因店铺设施效果，将提升店铺的魅力值<color=#ff9813>↑↑↑</color>,在店面大廳放置<color=#ff9813>5個吊燈</color>。\n\n店面設施效果使店鋪吸引力上升<color=#ff9813>↑↑↑</color>
UpgradeHelpText3000101,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>돌정령</color>을 닮은 산뜻한 민트색, <color=#ff9813>스쿠터 1호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",Default text,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>돌정령</color>을 닮은 산뜻한 민트색, <color=#ff9813>스쿠터 1호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",,"A Chu Chu without a license can go on a Business Trip alone if they take a Scooter! Purchase <color=#ff9813>Scooter #1</color>, which is painted a refreshing mint shade reminiscent of a <color=#ff9813>rock spirit</color>.\n\nLike Truck Business Trips, <color=#ff9813>Scooter Business Trips' profit</color> will increase to match the level of <color=#ff9813>Business Trip Research</color> you've done. The profits from Scooter Business Trips are about <color=#ff9813>25%</color> of Truck Business Trips. ","¡Un Chu Chu sin licencia puede ir solo de viaje de negocios si lo hace en moto! Comprar <color=#ff9813>moto #1</color>, que está pintada de un refrescante verde menta que tiene cierto <color=#ff9813>espíritu roquero</color>.\n\nAl igual que los viajes de negocios en camión, <color=#ff9813> las ganancias de los viajes de negocios en moto</color> aumentarán según nivel de  <color=#ff9813>investigación de viajes de negocios</color> que hayas hecho. Las ganancias de los viajes de negocios en moto son alrededor del <color=#ff9813>25 %</color> de los viajes de negocios en camión. ",置办摩托车后，没有驾照的啾啾也可以去出差了！购买长得像<color=#ff9813>石精灵</color>的清爽薄荷色，<color=#ff9813>摩托车1号</color>吧。\n\n<color=#ff9813>摩托车出差收益</color>与货车出差的收益方式相同，将根据<color=#ff9813>出差业务研究</color>的水平来提升收益，且摩托车出差的收益是货车出差收益的<color=#ff9813>25%</color>左右。 ,有了摩托車後，沒有駕照啾啾也可以去出差了！\n購買和<color=#ff9813>石靈</color>相似的鮮明薄荷色<color=#ff9813>摩托車1號</color>吧。\n\n<color=#ff9813>摩托車出差收益</color>和餐車出差一樣，會依據<color=#ff9813>出差事業研究</color>等級提升，\n摩托車出差收益是餐車出差收益的<color=#ff9813>25%</color>
UpgradeHelpText3000102,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>핑크빈</color>을 닮은 사랑스러운 분홍색, <color=#ff9813>스쿠터 2호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",Default text,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>핑크빈</color>을 닮은 사랑스러운 분홍색, <color=#ff9813>스쿠터 2호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",,"A Chu Chu without a license can go on a Business Trip alone if they take a Scooter! Purchase <color=#ff9813>Scooter #2</color>, which is painted a lovely pink shade similar to <color=#ff9813>Pink Bean</color>.\n\nLike Truck Business Trips, <color=#ff9813>Scooter Business Trips' profit</color> will increase to match the level of <color=#ff9813>Business Trip Research</color> you've done. The profits from Scooter Business Trips are about <color=#ff9813>25%</color> of Truck Business Trips. ","¡Un Chu Chu sin licencia puede ir solo de viaje de negocios si lo hace en moto! Comprar <color=#ff9813>moto #2</color>, que está pintada de un hermoso rosado similar a <color=#ff9813>Frijol Rosa</color>.\n\nAl igual que los viajes de negocios en camión, <color=#ff9813>las ganancias de los viajes de negocios en moto</color> aumentarán según el nivel de <color=#ff9813>investigación de viajes de negocios</color> que hayas hecho. Las ganancias de los viajes de negocios en moto son alrededor del <color=#ff9813>25 %</color> de los viajes de negocios en camión. ",置办摩托车后，没有驾照的啾啾也可以去出差了！购买长得像<color=#ff9813>品克缤</color>的浪漫粉色，<color=#ff9813>摩托车2号</color>吧。\n\n<color=#ff9813>摩托车出差收益</color>与货车出差的收益方式相同，将根据<color=#ff9813>出差业务研究</color>的水平来提升收益，且摩托车出差的收益是货车出差收益的<color=#ff9813>25%</color>左右。 ,有了摩托車後，沒有駕照啾啾也可以去出差了！\n購買和<color=#ff9813>粉豆</color>相似的可愛粉紅色<color=#ff9813>摩托車2號</color>吧。\n\n<color=#ff9813>摩托車出差收益</color>和餐車出差一樣，會依據<color=#ff9813>出差事業研究</color>等級提升，\n摩托車出差收益是餐車出差收益的<color=#ff9813>25%</color>
UpgradeHelpText3000103,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>슬라임</color>을 닮은 싱그러운 연둣빛, <color=#ff9813>스쿠터 3호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",Default text,"스쿠터가 있으면 운전면허가 없는 츄츄도 출장을 떠날 수 있습니다! <color=#ff9813>슬라임</color>을 닮은 싱그러운 연둣빛, <color=#ff9813>스쿠터 3호</color>를 구매하세요. \n\n<color=#ff9813>스쿠터 출장 수익</color>은 트럭 출장과 동일하게 <color=#ff9813>출장 사업 연구</color> 수준에 따라 상승하며, 스쿠터 출장 수익은 트럭 출장 수익의 <color=#ff9813>25%</color> 정도입니다. ",,"A Chu Chu without a license can go on a Business Trip alone if they take a Scooter! Purchase <color=#ff9813>Scooter #3</color>, which is painted the same vibrant green as <color=#ff9813>Slime</color>.\n\nLike Truck Business Trips, <color=#ff9813>Scooter Business Trips' profit</color> will increase to match the level of <color=#ff9813>Business Trip Research</color> you've done. The profits from Scooter Business Trips are about <color=#ff9813>25%</color> of Truck Business Trips. ","¡Un Chu Chu sin licencia puede ir solo de viaje de negocios si lo hace en moto! Comprar <color=#ff9813>moto #3</color>, que está pintada del mismo verde brillante que la <color=#ff9813>baba</color>.\n\nAl igual que los viajes de negocios en camión, <color=#ff9813>las ganancias de viajes de negocios en moto</color> aumentarán según el nivel de investigación de <color=#ff9813>investigación de viajes de negocios</color> que hayas hecho. Las ganancias de los viajes de negocios en moto son alrededor del <color=#ff9813>25 %</color> de los viajes de negocios en camión. ",置办摩托车后，没有驾照的啾啾也可以去出差了！购买长得像<color=#ff9813>绿水灵</color>的清新嫩绿色，<color=#ff9813>摩托车3号</color>吧。\n\n<color=#ff9813>摩托车出差收益</color>与货车出差的收益方式相同，将根据<color=#ff9813>出差业务研究</color>的水平来提升收益，且摩托车出差的收益是货车出差收益的<color=#ff9813>25%</color>左右。 ,有了摩托車後，沒有駕照啾啾也可以去出差了！\n購買和<color=#ff9813>綠水靈</color>相似的清新淡綠色<color=#ff9813>摩托車3號</color>吧。\n\n<color=#ff9813>摩托車出差收益</color>和餐車出差一樣，會依據<color=#ff9813>出差事業研究</color>等級提升，\n摩托車出差收益是餐車出差收益的<color=#ff9813>25%</color>
UpgradeHelpText30003,"출장 수익을 높이기 위한 사업 전략을 연구합니다. \n - 손님 수 : {0}명 → <color=#ff9813>{1}명</color> ( 츄슐랭 등급 보너스 {2}%) \n - 버거 가격 : {3}원 → <color=#ff9813>{4}원</color> \n\n<color=#ff9813>트럭 출장 수익</color>은 (손님수)X(버거 가격)으로 결정됩니다. 버거 가격은 축제 룰렛 결과에 따라 달라지며, <color=#ff9813>축제 장소</color>가 아니면 손님 수가 절반으로 줄어듭니다.",Default text,"출장 수익을 높이기 위한 사업 전략을 연구합니다. \n - 손님 수 : {0}명 → <color=#ff9813>{1}명</color> ( 츄슐랭 등급 보너스 {2}%) \n - 버거 가격 : {3}원 → <color=#ff9813>{4}원</color> \n\n<color=#ff9813>트럭 출장 수익</color>은 (손님수)X(버거 가격)으로 결정됩니다. 버거 가격은 축제 룰렛 결과에 따라 달라지며, <color=#ff9813>축제 장소</color>가 아니면 손님 수가 절반으로 줄어듭니다.",,"Research a Business Strategy to increase Business Trip Revenue.\n- Customers: {0} → <color=#ff9813>{1}</color> (Chuchelin Grade +{2}%)\n- Burger Price: {3} → <color=#ff9813>{4} Mesos</color>\n\n<color=#ff9813>Truck Business Trip Profit</color> is determined by (Customers) x (Burger Price). Burger Prices differ according to the festival roulette results, and Customers will be halved if you don't find the <color=#ff9813>festival location</color>.",Investiga una estrategia de negocio para aumentar los ingresos del viaje de negocios.\n- Clientes: {0} → <color=#ff9813>{1}</color> (Grado Chuchelin +{2}%)\n- Precio de hamburguesa: {3} → <color=#ff9813>{4} mesos</color>\n\nLas <color=#ff9813>ganancias del viaje de negocios en camión</color> se calculan en base a (Clientes) x (Precio de hamburguesa). Los precios de las hamburguesas difieren según los resultados de la ruleta del festival y los clientes se reducen a la mitad si no encuentras la <color=#ff9813>ubicación del festival</color>.,研究提高出差收益的商业策略。\n - 顾客数：{0}名→<color=#ff9813>{1}名</color>（啾其林级别加成{2}%）\n - 汉堡价格：{3}枫币→<color=#ff9813>{4}枫币</color>\n\n<color=#ff9813>货车出差收益</color>以（顾客数）X（汉堡价格）决定。汉堡价格取决于庆典转盘结果，如果不是<color=#ff9813>庆典场所</color>，顾客数将减少一半。,研究提升出差收益的事業策略吧。\n - 來客數：{0}名 → <color=#ff9813>{1}名</color>(啾其林等級紅利{2}%) \n - 漢堡價格：{3}楓幣 → <color=#ff9813>{4}楓幣</color> \n\n<color=#ff9813>餐車出差收益</color>為(來客數)×(漢堡價格)。\n漢堡價格取決於慶典輪盤結果，非<color=#ff9813>慶典場地</color>的地方來客數會少一半。
UpgradeHelpText3000401,출장에서 <color=#ff9813>재료 상자</color>를 발견할 확률이 증가합니다. 연구 레벨이 높을수록 발견하는 재료 상자의 <color=#ff9813>개수와 등급</color>이 상승합니다.  \n\n - 발견 가능한 재료 상자 등급 : {0} \n - 트럭 출장 : 재료 상자 <color=#ff9813>{1}개</color> 발견 가능,Default text,출장에서 <color=#ff9813>재료 상자</color>를 발견할 확률이 증가합니다. 연구 레벨이 높을수록 발견하는 재료 상자의 <color=#ff9813>개수와 등급</color>이 상승합니다.  \n\n - 발견 가능한 재료 상자 등급 : {0} \n - 트럭 출장 : 재료 상자 <color=#ff9813>{1}개</color> 발견 가능,,Increases your chance of finding <color=#ff9813>Ingredient Boxes</color> on a Business Trip. Higher Research levels improve your chance of finding <color=#ff9813>more and higher Grade</color> Ingredient Boxes.\n\n- Available Ingredient Box Grades: {0}\n- Truck Business Trip: <color=#ff9813>{1}</color> Ingredient Boxes,Aumenta las probabilidades de encontrar <color=#ff9813>cofres de ingredientes</color> en un viaje de negocios. Los niveles de investigación más altos aumentan las probabilidades de encontrar cofres de ingredientes <color=#ff9813>de mayor grado.</color> Cofre de ingredientes.\n\n- Grados de cofres de ingredientes disponibles: {0}\n- Viaje de negocios en camión: <color=#ff9813>{1}</color> cofres de ingredientes.,可增加出差时发现<color=#ff9813>材料箱</color>的概率。研究等级越高，发现的材料箱<color=#ff9813>数量和级别</color>等比提升。\n\n - 可发现的材料箱级别：{0}\n - 货车出差：可发现<color=#ff9813>{1}个</color>材料箱,出差時發現<color=#ff9813>材料箱</color>的機率增加。研究等級越高，發現的材料箱<color=#ff9813>個數和等級</color>就越高。\n\n - 可發現的材料箱等級：{0} \n - 餐車出差：可發現<color=#ff9813>{1}個</color>材料箱
UpgradeHelpText3000402,출장에서 <color=#ff9813>재료 상자</color>를 발견할 확률이 증가합니다. 연구 레벨이 높을수록 발견하는 재료 상자의 개수와 등급이 상승합니다.  \n\n - 발견 가능한 재료 상자 등급 : {0} \n - 트럭 출장 : <color=#ff9813>{1}개</color> 발견 가능 \n - 스쿠터 출장 : <color=#ff9813>{2}개</color> 발견 가능,Default text,출장에서 <color=#ff9813>재료 상자</color>를 발견할 확률이 증가합니다. 연구 레벨이 높을수록 발견하는 재료 상자의 개수와 등급이 상승합니다.  \n\n - 발견 가능한 재료 상자 등급 : {0} \n - 트럭 출장 : <color=#ff9813>{1}개</color> 발견 가능 \n - 스쿠터 출장 : <color=#ff9813>{2}개</color> 발견 가능,,Increases your chance of discovering an <color=#ff9813>Ingredient Box</color> on a Business Trip. Higher Research levels improve your chance of finding more and higher Grade Ingredient Boxes.\n\n- Available Ingredient Box Grades: {0}\n- Truck Business Trip: <color=#ff9813>{1}</color> Ingredient Boxe(s)\n- Scooter Business Trip: <color=#ff9813>{2}</color> Ingredient Boxe(s),Aumenta las probabilidades de descubrir un <color=#ff9813>cofre de ingredientes</color> en un viaje de negocios. Los niveles de investigación más altos aumentan las probabilidades de encontrar más cofres de ingredientes y de mayor grado.\n\n- Grados de cofres de ingredientes disponibles: {0}\n- Viaje de negocios en camión: <color=#ff9813>{1}</color> cofre(s) de ingredientes\n- Viaje de negocios en moto: <color=#ff9813>{2}</color>cofre(s) de ingredientes.,可增加出差时发现<color=#ff9813>材料箱</color>的概率。研究等级越高，发现的材料箱数量和级别等比提升。\n\n - 可发现的材料箱级别：{0}\n - 货车出差：可发现<color=#ff9813>{1}个</color>材料箱\n - 摩托车出差：可发现<color=#ff9813>{2}个</color>材料箱,出差時發現<color=#ff9813>材料箱</color>的機率增加。\n研究等級越高，發現的材料箱個數和等級就越高\n\n - 可發現的材料箱等級：{0} \n - 餐車出差：可發現<color=#ff9813>{1}個</color>\n - 摩托車出差：可發現<color=#ff9813>{2}個</color>
UpgradeHelpText30005,출장에서 <color=#ff9813>빵 상자</color>를 발견할 확률이 증가합니다. \n연구 레벨이 높을수록 빵 상자를 추가로 획득할 확률이 상승합니다.  \n\n - 트럭 출장 : 빵 상자 <color=#ff9813>{0}개</color> \n   (상자 하나를 발견할 확률 {1} ) \n - 스쿠터 출장 : 빵 상자 <color=#ff9813>{2}개</color> \n   (상자 하나를 발견할 확률 {3} ),Default text,출장에서 <color=#ff9813>빵 상자</color>를 발견할 확률이 증가합니다. \n연구 레벨이 높을수록 빵 상자를 추가로 획득할 확률이 상승합니다.  \n\n - 트럭 출장 : 빵 상자 <color=#ff9813>{0}개</color> \n   (상자 하나를 발견할 확률 {1} ) \n - 스쿠터 출장 : 빵 상자 <color=#ff9813>{2}개</color> \n   (상자 하나를 발견할 확률 {3} ),,Increases your chance of discovering a <color=#ff9813>Bread Box</color> on a Business Trip.\nHigher Research levels improve your chance of discovering a Bread Box.\n\n- Truck Business Trip: Bread Box x<color=#ff9813>{0}</color>\n({1} chance of discovering 1 Box)\n- Scooter Business Trip: Bread Box x<color=#ff9813>{2}</color>\n({3} chance of discovering 1 Box),Aumenta las probabilidades de descubrir una <color=#ff9813>caja de pan</color> en un viaje de negocios.\nLos niveles más altos de investigación mejoran tu probabilidad de descubrir una caja de pan\n\n- Viaje de negocios en camión: panera x<color=#ff9813>{0}</color>\n({1} de probabilidad de descubrir 1 panera).\n- Viaje de negocios en moto: panera x<color=#ff9813>{2}</color>\n({3} de probabilidad de descubrir 1 panera).,可增加出差时发现<color=#ff9813>面包箱</color>的概率。\n研究等级越高，可额外获得面包箱的概率也就越高。\n\n - 货车出差：<color=#ff9813>{0}个</color>面包箱\n（发现一个箱子的概率{1}）\n - 摩托车出差：<color=#ff9813>{2}个</color>面包箱\n（发现一个箱子的概率{3}）,出差時發現<color=#ff9813>麵包箱</color>的機率增加。\n研究等級越高，額外獲得麵包箱的機率就越高。\n\n - 餐車出差：<color=#ff9813>{0}個</color>麵包箱\n(發現1個麵包箱的機率{1})\n - 摩托車出差：<color=#ff9813>{2}個</color>麵包箱\n(發現1個麵包箱的機率{3})
UpgradeHelpText30006,도시락이 부족하신가요? \n도시락이 너무 비싸다구요? 연구를 통해 도시락 <color=#ff9813>생산 속도</color>를 비약적으로 높여보세요. 끊임없이 연구한다면 자급자족이 가능한 날이 올 겁니다. \n\n - 도시락 1개 생산 소요 시간 : {0}일 → <color=#ff9813>{1}일</color>,Default text,도시락이 부족하신가요? \n도시락이 너무 비싸다구요? 연구를 통해 도시락 <color=#ff9813>생산 속도</color>를 비약적으로 높여보세요. 끊임없이 연구한다면 자급자족이 가능한 날이 올 겁니다. \n\n - 도시락 1개 생산 소요 시간 : {0}일 → <color=#ff9813>{1}일</color>,,"Not enough Bento Boxes?\nToo expensive? Complete research to increase <color=#ff9813>Bento Box Production Speed</color>. Keep at it, and eventually, you'll become self-sufficient.\n\n- Bento Box Production Time: {0} day(s) → <color=#ff9813>{1} day(s)</color>","¿No tienes suficientes cajas bento?\n¿Son demasiado caras? Completa la investigación para aumentar la <color=#ff9813>velocidad de producción de cajas bento</color>. Sigue así y, con el tiempo, te volverás autosuficiente.\n\n- Tiempo de producción de cajas bento: {0} día(s) → <color=#ff9813>{1} día(s)</color>.",便当不够吗？\n觉得便当太贵了吗？你可以通过研究，迅速提高便当的<color=#ff9813>生产速度</color>。只要不断潜心研究，总有一天会实现自给自足的。\n\n - 生产1个便当所需的时间：{0}天→<color=#ff9813>{1}天</color>,便當不夠嗎？\n便當太貴了嗎？透過研究大幅提升便當<color=#ff9813>生產速度</color>吧。\n持續進行研究，總有一天一定可以自給自足的。\n\n - 生產1個便當所需時間{0}天 → <color=#ff9813>{1}天</color>
UpgradeHelpText30007,도시락 보관함이 가득 차면 생산한 도시락은 폐기할 수 밖에 없어요. <color=#ff9813>보관</color>할 수 있는 도시락의 개수를 늘리려면 도시락 보관함을 확장하세요. \n\n - 도시락 보관 가능 수 : {0}개 →  <color=#ff9813>{1}개</color>,Default text,도시락 보관함이 가득 차면 생산한 도시락은 폐기할 수 밖에 없어요. <color=#ff9813>보관</color>할 수 있는 도시락의 개수를 늘리려면 도시락 보관함을 확장하세요. \n\n - 도시락 보관 가능 수 : {0}개 →  <color=#ff9813>{1}개</color>,,"If your Bento Box Storage is full, you have no choice but to throw away any Bento Boxes you make. Expand your Bento Box Storage to increase the number of Bento Boxes you can <color=#ff9813>store</color>.\n\n - Bento Boxes Stored: {0} → <color=#ff9813>{1}</color>","Si el almacén de cajas bento está lleno, no te quedará otra que desechar las que prepares. Amplía tu almacenamiento de cajas bento para aumentar la cantidad que puedes <color=#ff9813>guardar</color>.\n\n - Cajas bento almacenadas: {0} → <color=#ff9813>{1}</color>.",如果便当保管箱已满，那么只能废弃已生产的便当。要想增加可<color=#ff9813>保管</color>的便当数量，请扩张便当保管箱。\n\n - 可保管的便当数：{0}个→<color=#ff9813>{1}个</color>,當便當保管箱滿了，就只能把生產的便當丟掉了。擴建便當保管箱，提升可<color=#ff9813>保管</color>的便當個吧。\n\n - 可保管便當個數：{0}個 →  <color=#ff9813>{1}個</color>
UpgradeHelpText40001,더 수준 <color=#ff9813>높은 버거</color> 레시피를 연구하세요! 레시피를 만들 때 재료를 하나 더 쌓을 수 있습니다. \n레시피 제작을 위해 사용하는 재료 카드는 레시피 층 수의 두 배만큼 세팅할 수 있습니다. \n\n- 버거 층 수 : {0}층 → <color=#ff9813>{1}층</color>\n- 재료 카드 세팅 수 : {2}개 → <color=#ff9813>{3}개</color>,Default text,더 수준 <color=#ff9813>높은 버거</color> 레시피를 연구하세요! 레시피를 만들 때 재료를 하나 더 쌓을 수 있습니다. \n레시피 제작을 위해 사용하는 재료 카드는 레시피 층 수의 두 배만큼 세팅할 수 있습니다. \n\n- 버거 층 수 : {0}층 → <color=#ff9813>{1}층</color>\n- 재료 카드 세팅 수 : {2}개 → <color=#ff9813>{3}개</color>,,Prepare new Recipes to make <color=#ff9813>higher-quality Burgers</color>! Preparing new Recipes enables you to add more ingredients.\nUse Ingredient Cards when you prepare new Recipes to double your Recipe's layers.\n\n- Burger Layers: {0} layer(s) → <color=#ff9813>{1} layer(s)</color>\n- Ingredient Cards: {2} → <color=#ff9813>{3}</color>,¡Prepara nuevas recetas para cocinar <color=#ff9813>hamburguesas de mayor calidad</color>! Preparar recetas nuevas te permite agregar más ingredientes.\nUsa las cartas de ingredientes cuando preparas nuevas recetas para duplicar las capas de tu receta.\n\n- Capas de hamburguesa: {0} capa(s) → <color=#ff9813>{1} capa(s)</color>\n- Cartas de ingredientes: {2} → <color=#ff9813>{3}</color>.,请研究更高级的<color=#ff9813>汉堡</color>菜谱！研制菜谱时，可以再堆一个材料。\n用于菜谱制作的材料卡片可以设定菜谱层数的两倍数量。\n\n- 汉堡层数：{0}层→<color=#ff9813>{1}层</color>\n- 材料卡片设定数：{2}个→<color=#ff9813>{3}个</color>,研究更<color=#ff9813>高階的漢堡</color>食譜吧！製作食譜時可以再堆疊一層材料。\n可將製作食譜使使用的材料卡，設為食譜總層數的兩倍。\n\n- 漢堡層數：{0}層 → <color=#ff9813>{1}層</color>\n- 材料卡放置數：{2}個 → <color=#ff9813>{3}個</color>
