Key,Source,Note,en,ko,es,zh-cn,zh-tw
NautilusGoldLegendary,Nautilus Golden Legendary Card Pack,,Nautilus Golden Legendary Card Pack,노틸러스 황금 레전더리 카드 팩,Paquete de cartas legendarias de oro de Nautilus,诺特勒斯黄金传说卡包,鯨魚號黃金傳說卡包
NautilusGoldLegendaryInfo,"This card pack awards <b>Rare</b>, <b>Epic</b>, <b>Unique</b>, and <b>Legendary</b> cards based on a set probability.\n<b>Golden</b> and <b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>",,"This card pack awards <b>Rare</b>, <b>Epic</b>, <b>Unique</b>, and <b>Legendary</b> cards based on a set probability.\n<b>Golden</b> and <b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>","<b>레어</b>, <b>에픽</b>, <b>유니크</b>, <b>레전더리</b> 등급의 카드를 정해진 확률에 따라 획득할 수 있는 카드 팩입니다.\n등장하는 카드 목록에는 <b>황금</b> 카드와 <b>변형</b> 카드가 포함됩니다.\n※ 카드 팩 1개당 <b>5</b>장의 카드를 획득할 수 있습니다.\n※ 각 카드 팩에서 등장하는 카드 목록 및 확률은 아래 확률 정보에서 확인하실 수 있습니다.\n<color=""blue"">[ 확률 정보 보기 ]</color>","Este paquete de cartas otorga cartas <b>raras</b>, <b>épicas</b>, <b>únicas</b> y <b>legendarias</b> en base a una probabilidad establecida.\n Las cartas <b>de oro</b> y <b>variantes</b> están incluidas en este paquete.\n* Puedes obtener <b>5</b> cartas en cada paquete.\n* La lista de cartas y las probabilidades de cada paquete se pueden encontrar en la Info. de probabilidad.\n<color=""blue"">[Ver Info. de probabilidad]</color>","此为根据指定概率可获得<b>稀有</b>、<b>史诗</b>、<b>罕见</b>和<b>传说</b>级别卡牌的卡包。\n出现的卡牌列表中包含<b>黄金</b>卡牌和<b>变形</b>卡牌。\n※ 每个卡包可获得<b>5张</b>卡牌。\n※ 您可以在下面的概率信息中查看各卡包中出现的卡牌列表及概率。\n<color=""blue"">【查看概率信息】</color>","可依固定機率獲得<b>稀有</b>、<b>史詩</b>、<b>罕見</b>和<b>傳說</b>等級卡牌的卡包。\n出現的卡牌列表中包含<b>黃金</b>卡牌和<b>變形</b>卡牌。\n※每1包卡包可獲得<b>5</b>張卡牌。\n※各種卡包中出現的卡牌列表及機率，可於下方的機率資訊中查看。\n<color=""blue"">[查看機率資訊]</color>"
P,Pack(s),,Pack(s),개,paquete(s),个,個
Room,Room,,Room,방,Sala,房间,房間
NewRoom,New Room,,New Room,새로운 방,Nueva sala,新房间,新房間
Player,Player(s),,Player(s),명,Jugador(es),名,名
Channel,Channel,,Channel,채널,Canal,频道,頻道
Friend,Friend,,Friend,친구,Amigo,好友,好友
FriendRequest,Friend Request,,Friend Request,친구 요청,Solicitud de amistad,好友邀请,好友邀請
Unfriend,Remove Friend,,Remove Friend,친구 해제,Eliminar amigo,解除好友,解除好友
SendFriendRequestSuccess,Friend request sent.,,Friend request sent.,친구 요청을 보냈습니다.,Solicitud de amistad enviada.,已发出好友邀请。,已傳送好友邀請。
SendFriendRequestUserNotFound,Friend request failed.\n(You are not in the same location.),,Friend request failed.\n(You are not in the same location.),친구 요청을 보내지 못했습니다.\n(서로 같은 곳에 있지 않습니다.),La solicitud de amistad falló.\n(No se encuentran en la misma ubicación).,未能发送好友邀请。\n（不在同一位置。）,無法發出好友邀請。\n（你們不在同一地點。）
SendFriendRequestPending,A friend request is pending.,,A friend request is pending.,친구 요청이 대기 중입니다.,Tienes una solicitud de amistad pendiente.,正在等待好友邀请。,有好友邀請待確認。
SendFriendRequestFriendAlready,This player is already your friend.,,This player is already your friend.,이미 친구로 등록되어 있습니다.,Este jugador ya es tu amigo.,已添加为好友。,已經是好友了。
SentYouAFriendRequest,has sent you a friend request.,,has sent you a friend request.,님의 친구 요청입니다.,te envió una solicitud de amistad.,玩家向你发送了好友邀请。,這是您的好友邀請。
AcceptFriendRequestUserNotFound,Failed to accept the friend request.\n(You are not in the same location.),,Failed to accept the friend request.\n(You are not in the same location.),친구 요청을 수락하지 못했습니다.\n(서로 같은 곳에 있지 않습니다.),No se pudo aceptar la solicitud de amistad.\n(No se encuentran en la misma ubicación).,未能接受好友邀请。\n（不在同一位置。）,無法接受好友邀請。\n（你們不在同一地點。）
AcceptFriendRequestFriendAlready,This player is already your friend.,,This player is already your friend.,이미 친구로 등록되어 있습니다.,Este jugador ya es tu amigo.,已添加为好友。,已經是好友了。
Accept,Accept,,Accept,수락,Aceptar,接受,接受
Refuse,Decline,,Decline,거절,Rechazar,拒绝,拒絕
CanSeeHandCards,You are now friends with {0} and can see their hand.\nKeep an eye out for hints in the chat.,,You are now friends with {0} and can see their hand.\nKeep an eye out for hints in the chat.,{0}님과 친구가 되어 손패를 볼 수 있습니다.\n채팅에서 힌트 제공에 주의하세요.,Ahora {0} y tú son amigos y puedes ver su mano.\nPresta atención al chat para ver pistas.,你与{0}已成为好友，可以查看手牌。\n请留意从聊天中提供的提示。,與{0}成為好友，即可查看其手牌。\n請注意在聊天中提供的提示。
CantSeeHandCards,You are no longer friends with {0}.\nYou can't look at their hand.,,You are no longer friends with {0}.\nYou can't look at their hand.,{0}님과 더 이상 친구가 아닙니다.\n손패를 볼 수 없습니다.,{0} y tú ya no son amigos.\nNo puedes ver su mano.,你与{0}已不再是好友。\n无法查看手牌。,與{0}不再是好友。\n無法查看其手牌。
Offline,Offline,,Offline,오프라인,Sin conexión,离线,線下
SameLocation,You're already in the same place.,,You're already in the same place.,이미 같은 곳에 있습니다.,Ya están en el mismo lugar.,已在相同的地点上。,已經在同一地點。
Play,Play,,Play,플레이,Jugar,玩游戏,遊戲進行
PlayHotTime,Play (Hot Time),,Play (Hot Time),플레이 (핫타임),Jugar (Temporada candente),玩游戏 (快乐时光),遊戲進行 (Hot time)
PlayRewardsEnded,Today's Play Reward Expired,,Today's Play Reward Expired,오늘 플레이 보상 마감,La recompensa por jugar de hoy caducó,今日游戏奖励已结束,今日遊戲獎勵截止
Promoted,Promoted to {0}!,,Promoted to {0}!,{0} 승급!,¡Ascendiste a {0}!,{0}升阶！,{0}升階！
RankedPlay,Ranked Match x{0},,Ranked Match x{0},랭크전 ×{0},{0} partida(s) clasificatoria(s),排位战 x{0},排位戰×{0}
RankedDraw,Ranked Draw,,Ranked Draw,랭크전 무승부,Empate clasificatorio,排位战平局,排位戰平手
RankedWin,Ranked Victory,,Ranked Victory,랭크전 승리,Victoria clasificatoria,排位战获胜,排位戰勝利
RankedWinHotTime,Ranked Win\n(Hot Time),,Ranked Win\n(Hot Time),랭크전 승리\n(핫타임),Victoria clasificatoria\n(Temporada candente),排位战获胜\n(快乐时光),排位戰勝利\n(Hot time)
RankedLose,Ranked Loss,,Ranked Loss,랭크전 패배,Derrota clasificatoria,排位战失败,排位戰戰敗
WinRewardsEnded,Today's Victory Reward Expired,,Today's Victory Reward Expired,오늘 승리 보상 마감,La recompensa de la victoria de hoy caducó,今日胜利奖励已结束,今日勝利獎勵截止
PracticePartner,Practice Opponent,,Practice Opponent,연습 상대,Oponente de práctica,练习对象,練習對象
Rarity,Rarity,,Rarity,희귀도,Rareza,稀有度,稀有度
Normal,<b><color=#ababab>Common</color></b>,,<b><color=#ababab>Common</color></b>,<b><color=#ababab>일반</color></b>,<b><color=#ababab>Común</color></b>,<b><color=#ababab>普通</color></b>,<b><color=#ababab>一般</color></b>
Rare,<b><color=#00eaff>Rare</color></b>,,<b><color=#00eaff>Rare</color></b>,<b><color=#00eaff>레어</color></b>,<b><color=#00eaff>Raro</color></b>,<b><color=#00eaff>稀有</color></b>,<b><color=#00eaff>稀有</color></b>
Epic,<b><color=#ff00f2>Epic</color></b>,,<b><color=#ff00f2>Epic</color></b>,<b><color=#ff00f2>에픽</color></b>,<b><color=#ff00f2>Épico</color></b>,<b><color=#ff00f2>史诗</color></b>,<b><color=#ff00f2>史詩</color></b>
Unique,<b><color=#ffd400>Unique</color></b>,,<b><color=#ffd400>Unique</color></b>,<b><color=#ffd400>유니크</color></b>,<b><color=#ffd400>Único</color></b>,<b><color=#ffd400>罕见</color></b>,<b><color=#ffd400>罕見</color></b>
Legendary,<b><color=#71ff00>Legendary</color></b>,,<b><color=#71ff00>Legendary</color></b>,<b><color=#71ff00>레전더리</color></b>,<b><color=#71ff00>Legendario</color></b>,<b><color=#71ff00>传说</color></b>,<b><color=#71ff00>傳說</color></b>
Variant,Variant,,Variant,변형,Variante,变形,變形
FangBlade,FallenPowerWarrior,,FallenPowerWarrior,타락파워전사,FallenPowerWarrior,堕落强力战士,墮落力量戰士
Snowboard,Snowboard,,Snowboard,스노우보드,Snowboard,滑雪板,雪板
Angel,Angel,,Angel,천사,Ángel,天使,天使
Santa,Santa,,Santa,산타,Santa,圣诞老人,聖誕老人
Bee,Honey Bee,,Honey Bee,꿀벌,Miel de abeja,蜜蜂,蜜蜂
BrownTeddy,Brown Teddy,,Brown Teddy,브라운테니,Osito marrón,玩具棕熊,褐色發條熊
SteelyThrowingKnives,Steely Throwing-Knives,,Steely Throwing-Knives,뇌전 수리검,Cuchillos arrojadizos de acero,雷电手里剑,雷之鏢
Snowman,Snowman,,Snowman,눈사람,Muñeco de nieve,雪人,雪人
Kindergarten,Kindergarten,,Kindergarten,유치원,Jardín infantil,幼儿园,幼稚園
Rainbow,Rainbow,,Rainbow,레인보우,Arcoíris,彩虹,彩虹
Mummy,Mummy,,Mummy,미이라,Momia,木乃伊,木乃伊
Hanbok,Hanbok,,Hanbok,한복,Hanbok,韩服,韓服
Tomato,Tomato,,Tomato,토마토,Tomate,番茄,番茄
Leaf,Leaf,,Leaf,잎사귀,Hoja,叶子,葉子
CardBack,Card Back,,Card Back,카드 뒷면,Reverso de la carta,卡牌背面,卡牌背面
StoneSpirit,Rock Spirit,,Rock Spirit,돌의 정령,Espíritu de la roca,石之精灵,石靈
PinkBean,Pink Bean,,Pink Bean,핑크빈,Frijol rosa,品克缤,粉豆
VS,VS,,VS,VS,Contra,VS,VS
Win,Victory,,Victory,승리,Victoria,胜利,勝利
Lose,Defeat,,Defeat,패배,Derrota,失败,戰敗
Draw,Draw,,Draw,무승부,Gacha,平局,平手
End,End,,End,종료,Finalizar,结束,結束
BeginRound,Start Round,,Start Round,라운드 시작,Empezar la ronda,回合开始,回合開始
EndRound,End Round,,End Round,라운드 종료,Fin de la ronda,回合结束,回合結束
EnemyTurn,Opponent's Turn,,Opponent's Turn,상대 턴,Turno del oponente,对方回合,對手回合
Watching,Spectating,,Spectating,관전 중,Observando,正在观战,觀戰中
Waiting,Waiting,,Waiting,대기 중,En espera,等待中,等待中
Battle,Battle!,,Battle!,전투!,¡A luchar!,战斗！,戰鬥！
Fatigue,No more cards!,,No more cards!,카드가 없다!,¡No quedan cartas!,没卡牌了！,沒有卡牌了！
Common,Basic,,Basic,공용,Base,通用,共用
Warrior,Warrior,,Warrior,전사,Guerrero,战士,劍士
Magician,Magician,,Magician,마법사,Mago,魔法师,法師
Bowman,Bowman,,Bowman,궁수,Arquero,弓箭手,弓箭手
Thief,Thief,,Thief,도적,Ladrón,飞侠,盜賊
Pirate,Pirate,,Pirate,해적,Pirata,海盗,海盜
Spawn,Spawn,,Spawn,등장,Al entrar,登场,登場
SpawnDescription,<b>Spawn</b>: The effect is triggered when the minion is summoned.,,<b>Spawn</b>: The effect is triggered when the minion is summoned.,<b>등장</b> 효과는 하수인이 소환된 후에 발동합니다.,<b>Al entrar</b>: el efecto se activa cuando se invoca al secuaz.,<b>登场</b>效果在随从被召唤后触发。,<b>登場</b>：手下被召喚時發動的效果。
Exit,Exit,,Exit,퇴장,Al salir,退场,退場
ExitDescription,<b>Exit</b>: Effects are triggered when the minion is defeated.,,<b>Exit</b>: Effects are triggered when the minion is defeated.,<b>퇴장</b> 효과는 하수인이 죽기 전에 발동합니다.,<b>Al salir</b>: los efectos de activan cuando el secuaz es derrotado.,<b>退场</b>效果将于随从死亡前触发。,<b>退場</b>：手下被消滅時發動的效果。
Barrier,Barrier,,Barrier,결계,Barrera,结界,結界
BarrierDescription,"<b>Barrier</b> blocks the next source of damage targeting the minion, then disappears.",,"<b>Barrier</b> blocks the next source of damage targeting the minion, then disappears.",<b>결계</b>는 하수인이 받는 다음 피해를 막아주고 사라집니다.,<b>Barrera</b> bloquea la siguiente fuente de daño en dirección al secuaz y luego desaparece.,<b>结界</b>在格挡随从受到的下一次伤害后消失。,<b>結界</b>：抵消手下受到的下一次傷害。
Venom,Venom,,Venom,맹독,Veneno,剧毒,劇毒
VenomDescription,Minions with <b>Venom</b> defeat any minion they deal damage to.,,Minions with <b>Venom</b> defeat any minion they deal damage to.,<b>맹독</b>이 있는 하수인에 의해 피해를 받은 하수인은 죽습니다.,Secuaces con <b>Veneno</b> derrotarán a cualquier secuaz al que le inflijan daño.,被有<b>剧毒</b>的随从受到伤害的随从会死亡。,<b>劇毒</b>：受到此手下傷害的目標將立即死亡。
Freeze,Freeze,,Freeze,얼음,Congelamiento,冰冻,冰凍
FreezeDescription,Minions affected by <b>Freeze</b> can't participate in combat for that round.,,Minions affected by <b>Freeze</b> can't participate in combat for that round.,<b>얼음</b> 상태인 하수인은 이번 라운드 동안 전투에 참여할 수 없습니다.,Los secuaces afectados por <b>Congelamiento</b> no pueden participar en el combate por esa ronda.,处于<b>冰冻</b>状态的随从无法在本回合内参与战斗。,處於<b>冰凍</b>狀態的手下，在本回合內無法參與戰鬥。
Stun,Stun,,Stun,기절,Aturdimiento,眩晕,暈眩
StunDescription,A minion affected by <b>Stun</b> will miss their next attack.,,A minion affected by <b>Stun</b> will miss their next attack.,<b>기절</b> 상태인 하수인이 주는 다음 피해가 빗나갑니다.,Un secuaz afectado por <b>Aturdimiento</b> fallará el próximo ataque.,处于<b>眩晕</b>状态的随从造成的下一次伤害将无法命中目标。,處於<b>暈眩</b>狀態的手下，其造成的下一次傷害將會落空。
Fear,Fear,,Fear,공포,Miedo,恐惧,恐怖
FearDescription,A minion that is affected by <b>Fear</b> misses 50% of their attacks.,,A minion that is affected by <b>Fear</b> misses 50% of their attacks.,<b>공포</b> 상태인 하수인이 주는 피해가 50% 확률로 빗나갑니다.,Los secuaces que se vean afectados por el <b>Miedo</b> fallarán el 50 % de sus ataques.,处于<b>恐惧</b>状态的随从造成的伤害有50%概率无法命中目标。,處於<b>恐怖</b>狀態的手下，其造成的傷害將有50%的機率會落空。
Npc,NPC,,NPC,NPC,PNJ,NPC,NPC
Boss,Boss,,Boss,보스,Jefe,首领,BOSS
Pig,Pig,,Pig,돼지,Cerdo,猪,肥肥
Mushroom,Mushroom,,Mushroom,버섯,Hongo,蘑菇,香菇
Alien,Alien,,Alien,외계인,Extraterrestre,外星人,外星人
Dragon,Dragon,,Dragon,용,Dragón,龙,龍
Monkey,Monkey,,Monkey,원숭이,Mono,猴子,猴子
Devil,Devil,,Devil,악마,Demonio,恶魔,惡魔
Beast,Beast,,Beast,맹수,Bestia,猛兽,猛獸
Plant,Plant,,Plant,식물,Planta,植物,植物
Toy,Toy,,Toy,장난감,Juguete,玩具,玩具
Pet,Pet,,Pet,펫,Mascota,宠物,寵物
Undead,Undead,,Undead,언데드,Zombi,亡灵,不死系
Adobis,Adobis,,Adobis,아도비스,Adobis,阿杜比斯,阿多比斯
AdobisDescription,Decrease the cost of the first skill you use in a round by 1.,,Decrease the cost of the first skill you use in a round by 1.,매 라운드마다 내가 처음 내는 스킬의 비용이 1 감소합니다.,Reduce en 1 el costo de la primera habilidad que usas en una ronda.,我在每回合施放的第一个技能费用减少1点。,每回合我首次使用的技能費用減少1。
AdobisFlavorText,Collect the gold teeth from zombies.\nJust don't ask why I need them. Ahem...,,Collect the gold teeth from zombies.\nJust don't ask why I need them. Ahem...,좀비의 잃어버린 금니를 모아오게.\n어디에 쓸 건지는 묻지 말고.. 흠흠..,Reúne los dientes de oro de los zombis.\nSolo evita preguntar por qué los necesito. Ejem...,帮我收集一点僵尸丢失的金牙。\n别问我要用在哪里，呜呜……,去把殭屍遺失掉的金牙收集起來。\n別問我要用在哪裡…嗯嗯…
AirStrike,Air Strike,,Air Strike,에어 스트라이크,Ataque aéreo,隔空打击,海鷗特戰隊
AirStrikeDescription,Deal 2 damage to all enemies. Deal 4 more damage if your hand is empty.,,Deal 2 damage to all enemies. Deal 4 more damage if your hand is empty.,모든 적에게 피해를 2 줍니다. 내 손에 카드가 없다면 피해를 4 더 줍니다.,Inflige 2 puntos de daño a todos los enemigos. Inflige 4 puntos más de daño si tu baraja está vacía.,对所有敌方造成2点伤害。如果我手中没有任何卡牌，则额外造成4点伤害。,對所有敵人造成2點傷害。手中沒有卡牌時再造成4點傷害。
AirStrikeFlavorText,Hail of Seagulls,,Hail of Seagulls,하늘에서 갈매기가 빗발친다!,Graznido de gaviotas,海鸥如雨坠！,海鷗在天空中展翅！
ArmorCrash,Armor Crash,,Armor Crash,아머 크래쉬,Choque de armadura,破甲,破甲
ArmorCrashDescription,Change the HP of two random enemy minions to 1.,,Change the HP of two random enemy minions to 1.,무작위 적 하수인 둘의 HP를 1로 만듭니다.,Cambia a 1 los PV de dos secuaces enemigos aleatorios.,使两个随机敌方随从的血量变为1点。,使兩個隨機敵方手下的HP變為1。
ArmorCrashFlavorText,Armor for Gym Rats Only -Perion Armor Store,,Armor for Gym Rats Only -Perion Armor Store,3대 500이하 아머 금지 ~페리온 방어구 상점~,Esta armadura es ideal para los adictos al ejercicio -Tienda de armadura de Perion,三大项500公斤以下的不准穿铠甲～勇士部落防具商店～,禁止使用3大500以下的盔甲～勇士之村防具商店～
ArrowBlow,Arrow Blow,,Arrow Blow,애로우 블로우,Golpe de flecha,断魂箭,箭矢连射
ArrowBlowDescription,Deal 5 damage to a minion. Draw 2 cards if the minion survives.,,Deal 5 damage to a minion. Draw 2 cards if the minion survives.,하수인에게 피해를 5 줍니다. 그 하수인이 살아남으면 카드를 두 장 뽑습니다.,Inflige 5 puntos de daño a un secuaz. Saca 2 cartas si el secuaz sobrevive.,对随从造成5点伤害。如果该随从仍然存活，则抽取两张卡牌。,對手下造成5點傷害。若手下存活，則抽取兩張卡牌。
ArrowBlowFlavorText,"We hope you enjoy Arrow Blow, now at a lower MP cost and skill point investment than Double Shot!",,"We hope you enjoy Arrow Blow, now at a lower MP cost and skill point investment than Double Shot!",더블 샷에 비해 MP도 덜 들고 스킬 포인트도 아낄 수 있는 애로우 블로우 많이 사랑해주세요!,"¡Esperamos que disfrutes de Golpe de flecha, ahora a un menor costo de PM e inversión de puntos de habilidad que Disparo doble!",比起双份浓缩，断魂箭不仅消耗的魔量少，还能节省技能点数，请大家多多使用断魂箭哦！,請多愛用斷魂箭，跟雙重射擊相比，斷魂箭消耗的MP較少又可以節省技能點數！
ArrowBomb,Arrow Bomb,,Arrow Bomb,에로우 봄,Flecha explosiva,箭爆,炸彈箭
ArrowBombDescription,Deal 1 damage to a target minion and any adjacent minions and <b>Stun</b> them.,,Deal 1 damage to a target minion and any adjacent minions and <b>Stun</b> them.,하수인과 그 양옆에 있는 하수인들에게 피해를 1 주고 <b>기절</b> 상태로 만듭니다.,Le inflige 1 punto de daño a un secuaz objetivo y a cualquier secuaz contiguo y los <b>aturde</b>.,对指定随从与两侧的随从造成1点伤害，并使其陷入<b>眩晕</b>状态。,對手下及其兩側的手下造成1點傷害，並使其陷入<b>暈眩</b>狀態。
ArrowBombFlavorText,Explosions are an artform.,,Explosions are an artform.,예술은 폭발이다.,Las explosiones son una forma de arte.,所谓艺术就是爆炸。,藝術就是爆炸。
ArrowRain,Storm of Arrows,,Storm of Arrows,에로우 레인,Tormenta de flechas,箭雨,箭雨
ArrowRainDescription,Deal 2 damage to all enemy minions.,,Deal 2 damage to all enemy minions.,모든 적 하수인들에게 피해를 2 줍니다.,Les inflige 2 puntos de daño a todos los secuaces enemigos.,对所有敌方随从造成2点伤害。,對所有敵方手下造成2點傷害。
ArrowRainFlavorText,It's raining arrows! ↙↙↙↙↙,,It's raining arrows! ↙↙↙↙↙,화살비가 내려와 ↙↙↙↙↙,¡Llueven flechas! ↙↙↙↙↙,天上在下箭雨↙↙↙↙↙,箭雨落下↙↙↙↙↙
Assaulter,Assault,,Assault,어썰터,Asalto,突袭,暗殺者
AssaulterDescription,Deal 1-2 damage to a minion.\nDraw 1 card.,,Deal 1-2 damage to a minion.\nDraw 1 card.,하수인에게 피해를 1~2 줍니다.\n카드를 한 장 뽑습니다.,Le inflige 1-2 puntos de daño a un secuaz.\nSaca 1 carta.,对随从造成1~2点伤害。\n抽取一张卡牌。,對手下造成1～2點傷害。\n抽取一張卡牌。
AssaulterFlavorText,Assault this!,,Assault this!,어썰티비!,¡Asalta esto!,关我屁事！,突擊！
AthenaPierce,Athena Pierce,,Athena Pierce,헬레나,Athena Pierce,赫勒拿,赫麗娜
AthenaPierceDescription,<b>Spawn</b>: Add Double Shot to your hand.,,<b>Spawn</b>: Add Double Shot to your hand.,<b>등장</b>: 더블 샷을 내 손으로 가져옵니다.,<b>Al entrar</b>: saca un Disparo doble.,<b>登场</b>：将双份浓缩放入我的手牌。,<b>登場</b>：將雙重射擊放入我的手牌。
AthenaPierceFlavorText,"If you want to become a Bowman, please approach.",,"If you want to become a Bowman, please approach.",궁수가 되고 싶은 자는 나에게...,"Si quieres ser arquero, acércate aquí.",想成为弓箭手的来我这儿……,想成為弓箭手的人來我這…
Avenger,Avenger,,Avenger,어벤져,Vengador,复仇者,風魔手裏劍
AvengerDescription,Deal 1 damage to all enemy minions.,,Deal 1 damage to all enemy minions.,모든 적 하수인들에게 피해를 1 줍니다.,Le inflige 1 punto de daño a todos los secuaces enemigos.,对所有敌方随从造成1点伤害。,對所有敵方手下造成1點傷害。
AvengerFlavorText,Assemble!,,Assemble!,어셈블!!!,¡Unidos!,集结！！！,集合！！！
AxeStump,Axe Stump,,Axe Stump,엑스텀프,Tocón de hacha,斧木妖,斧木妖
AxeStumpDescription,<b>Exit</b>: Deal 1 damage to a random enemy.,,<b>Exit</b>: Deal 1 damage to a random enemy.,<b>퇴장</b>: 무작위 적에게 피해를 1 줍니다.,<b>Al salir</b>: le inflige 1 punto de daño a un enemigo aleatorio.,<b>退场</b>：对随机敌方造成1点伤害。,<b>退場</b>：對隨機一個敵人造成1點傷害。
AxeStumpFlavorText,Is this your axe?,,Is this your axe?,이 도끼가 네 도끼냐?,¿Esta hacha es tuya?,这把斧是你的吗？,這把斧頭是你的斧頭嗎？
Ayan,Ayan,,Ayan,이얀,Ayan,伊安,義安
AyanDescription,<b>Spawn</b>: Randomly copy a minion in your hand and summon it as a 1/1.,,<b>Spawn</b>: Randomly copy a minion in your hand and summon it as a 1/1.,<b>등장</b>: 내 손에 있는 무작위 하수인을 1/1로 복사하여 소환합니다.,<b>Al entrar</b>: copia aleatoriamente a un secuaz en tu mano y lo invoca como un 1/1.,<b>登场</b>：从我的手牌中随机复制一个随从并以1/1的状态召唤。,<b>登場</b>：以1/1複製我手牌中的隨機一個手下並將其召喚。
AyanFlavorText,Stumps are scary...,,Stumps are scary...,스텀프는 무서워...,Los tocones dan miedo...,木妖好可怕……,木妖好可怕…
BandOfThieves,Band of Thieves,,Band of Thieves,시브즈,Banda de ladrones,飞侠团,盜賊
BandOfThievesDescription,Deal 3 damage to 3 random enemy minions.,,Deal 3 damage to 3 random enemy minions.,무작위 적 셋에게 피해를 3 줍니다.,Inflige 3 puntos de daño a 3 secuaces enemigos aleatorios.,对三个随机敌方造成3点伤害。,對隨機三個敵人造成3點傷害。
BandOfThievesFlavorText,Friendship shield!,,Friendship shield!,프렌드 쉴드!,¡Escudo de amistad!,队友护盾！,友情卷軸
BarnardGray,Barnard Gray,,Barnard Gray,바나드 그레이,Barnard gris,白外星人卫兵,葛雷士兵
BarnardGrayDescription,<b>Barrier</b>,,<b>Barrier</b>,<b>결계</b>,<b>Barrera</b>,<b>结界</b>,<b>結界</b>
BarnardGrayFlavorText,How's that for brain power?,,How's that for brain power?,초능력 맛 좀 볼래?,¿Qué tal esa capacidad intelectual?,想不想尝尝超能力的滋味？,要不要試試超能力？
Beetle,Beetle,,Beetle,비틀,Escarabajo,甲虫,橡木甲蟲
BeetleDescription,<b>Spawn</b>: Grant another random allied minion +2/+2.,,<b>Spawn</b>: Grant another random allied minion +2/+2.,<b>등장</b>: 다른 무작위 아군 하수인에게 +2/+2를 부여합니다.,<b>Al entrar</b>: le otorga +2/+2 a un secuaz aliado aleatorio.,<b>登场</b>：对我方的其他随机随从赋予+2/+2。,<b>登場</b>：賦予其他的隨機我方手下+2/+2的增益。
BeetleFlavorText,A large beetle that lives in Minar Forest.\nLoves trees and places with plenty of leaves.,,A large beetle that lives in Minar Forest.\nLoves trees and places with plenty of leaves.,미나르숲에 사는 큰 딱정벌레다.\n나무와 나뭇잎이 많은 곳을 좋아한다.,Un escarabajo grande que vive en el bosque de Minar.\nAdora los árboles y los lugares llenos de hojas.,生活在米纳尔森林的大甲虫。\n喜欢树木和树叶茂密的地方。,是一種生活在米納爾森林的大型甲蟲。\n喜歡有很多樹跟樹葉的地方。
BellflowerRoot,Bellflower,,Bellflower,도라지,Campanilla,桔梗,深山人蔘
BellflowerRootDescription,<b>Exit</b>: Draw 1 random card that was discarded this game and reduce its cost by 2.,,<b>Exit</b>: Draw 1 random card that was discarded this game and reduce its cost by 2.,<b>퇴장</b>: 이번 게임 동안 내가 버린 무작위 카드를 내 손으로 가져오고 비용을 2 감소시킵니다.,<b>Salida</b>: saca 1 carta aleatoria que haya sido descartada en este juego y reduce su costo en 2.,<b>退场</b>：将我在本局游戏中丢弃的随机卡牌放回我的手牌，并减少2点费用。,<b>退場</b>：本場遊戲期間，將我丟棄的卡牌隨機放回手中，並使費用減少2。
BellflowerRootFlavorText,"A plant that resembles ginseng, though it's far less effective.",,"A plant that resembles ginseng, though it's far less effective.",인삼과 매우 닮은 식물. 인삼에 비해 훨씬 약효가 부족하다.,"Una planta que se parece al ginseng, pero es mucho menos efectiva.",一种与人参非常相似的植物，但药效远不如人参。,位於深山產的人蔘，但怎麼他的藥效好像比一般人蔘差很多？
BikerMonkey,Biker Monkey,,Biker Monkey,폭주족 원숭이,Mono motociclista,暴走猴,飆車猴
BikerMonkeyDescription,Gain 1 ATK whenever you play a minion.,,Gain 1 ATK whenever you play a minion.,내가 하수인을 낸 후에 공격력을 1 얻습니다.,Obtienes 1 punto de ATQ siempre que usas a un secuaz.,在我出随从后，获得1点攻击力。,派出手下後，獲得1點攻擊力。
BikerMonkeyFlavorText,"When riding a motorcycle, remember: safety first!",,"When riding a motorcycle, remember: safety first!",오토바이는 조심해서 타야 돼.,"¡Cuando antes en motocicleta, recuerda que la seguridad es lo primero!",骑摩托车的时候要小心点。,必須小心騎乘摩托車。
Birk,Birk,,Birk,버크,Birk,小绵羊,邪惡綿羊
BirkDescription,Gain +1/+1 when your opponent plays a minion.,,Gain +1/+1 when your opponent plays a minion.,상대가 하수인을 낸 후에 +1/+1을 얻습니다.,Otorga +1/+1 cuando tu oponente juega con un secuaz.,在对方出随从后，获得+1/+1。,對方派出手下後，獲得+1/+1的增益。
